"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vKeywords","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2"
"18300LMDL","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Everything happens for a reason.""","Mantra","Pink","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, mandala, yoga, pink, purple, black, yoga",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LELP","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Be the energy you want to attract""","Mantra","Brown","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, energy, elephant, blue, brown, black",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LBRD","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Let go of what you cannot change.""","Mantra","Blue","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner,  blue, red, bird, black",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LGRL","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Eat, Pray, Slay.""","Mantra","Pink","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, girl, pink, black, sunglasses, slay, pray",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LCMR","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Believe in your #selfie""","Mantra","Maroon","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, maroon, camera, flowers, selfie",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LKEY","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""New Adventures Await""","Mantra","Black","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, key, black, white, adventure",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"11967","800","Boho-chic and completely unique! This silver-toned stone necklace is a gorgeous natural treasure with its lava stone accents and pave-capped stone focal pendant. Wear on its own or style with additional bohemian jewelry!","Black Pav&eacute; Stone Necklace","Boho Chic","Black","Necklaces","Silver","","Natural, Stone, Boho, Pave, Long, necklace",545,,"Antique silver toned plating over metal base with natural gemstones accents","Lobster claw closure | Style # 11967","35.5""length | 3""extender chain | Designed in the USA",10,24.99
"L182271316","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: January birth month featuring garnet colored crystals.</i>","January Birthstone Studs made with Swarovski® Crystals","Sleek","Maroon","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, january, garnet",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182271324","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: February birth month featuring amethyst colored crystals.</i>","February Birthstone Studs made with Swarovski® Crystals","Sleek","Purple","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, february, amethyst",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182272302","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: April birth month featuring clear crystals.</i>","April Birthstone Studs made with Swarovski® Crystals","Sleek","Clear/Crystal","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, april, diamond",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182271320","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: May birth month featuring emerald colored crystals.</i>","May Birthstone Studs made with Swarovski® Crystals","Sleek","Green","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, may, emerald",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182271424","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: June birth month featuring tanzanite colored crystals.</i>","June Birthstone Studs made with Swarovski® Crystals","Sleek","Blue","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, june, tanzanite",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L190340117","800","It’s your time to shine in these versatile ear jackets! Wear these glitzy pieces as a stud or place the “jacket” to the back of your ear as a secondary look. The beautiful, pristine rose color makes for great bridal earrings or an elegant showpiece. Pair with matching stacking necklaces or rings to complete the look.","Romantic Crystals Ear Jackets","Sleek","Pink","Earrings","Gold","","Crystal, glass, earring, ear, jacket, gift, box",109,,"Gold toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19034","Designed in the USA",8.5,19.99
"L190350117","800","It’s your time to shine in these versatile stacking necklaces! Wear these glitzy pieces individually or layered together as a secondary look. The beautiful, pristine rose color makes for great bridal gifts or as an elegant ensemble. Pair with matching ear jackets or rings to complete the look.","Romantic Crystals Stacking Necklaces","Sleek","Pink","Necklaces","Gold","","Crystal, glass, necklace, set, gift, box",109,,"Gold toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19035","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190360117","800","It’s your time to shine in these versatile stacking rings! Wear these glitzy pieces individually or layer them for varying looks. The beautiful, pristine rose color makes for great bridal gifts or as an elegant ensemble. Pair with matching ear jackets or stacking necklaces to complete the look.","Romantic Crystals Stacking Ring Set","Sleek","Pink","Rings","Gold","","Crystal, glass, ring, set, stacking, gift, box",109,,"Gold toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19036","Designed in the USA",7.5,14.99
"L190370109","800","Charming and sleek gold ear jackets are accented with delicate crystals and add a special touch to your everyday look. Pair with matching stacking necklaces and ring set to complete the look.","Endless Sparkle Ear Jackets","Sleek","Clear/Crystal","Earrings","Gold","","Crystal, glass, earring, ear, jacket, gift, box",108,,"Gold toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19037","Designed in the USA",8.5,19.99
"L190380109","800","Charming and sleek gold stacking necklaces are accented with delicate crystals and add a special touch to your everyday look. Pair with matching ear jackets and ring set to complete the look.","Endless Sparkle Stacking Necklaces","Sleek","Clear/Crystal","Necklaces","Gold","","Crystal, glass, necklace, set, gift, box",108,,"Gold toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19038","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190390109","800","Charming and sleek gold rings are accented with delicate crystals and add a special touch to your everyday look. Pair with matching ear jackets and stacking necklaces to complete the look.","Endless Sparkle Stacking Ring Set","Sleek","Clear/Crystal","Rings","Gold","","Crystal, glass, ring, set, stacking, gift, box",108,,"Gold toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19039","Designed in the USA",7.5,14.99
"L190400609","800","Never stop looking up! When it comes to night-time accessorizing, the moon and star ear jackets are the perfect fit! Get in the celestial mood with metallic, gem-studded stars, and then hook on the matching moon jacket for a style dream come true. Pair with matching stacking necklaces and rings to complete the look.","Celestial Ear Jackets","Sleek","Gunmetal","Earrings","Gunmetal","","Crystal, glass, earring, ear, jacket, gift, box",107,,"Gunmetal toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19040","Designed in the USA",8.5,19.99
"L190410609","800","Never stop looking up! When it comes to night-time accessorizing, the moon and star stacking necklaces are the perfect fit! Get in the celestial mood with metallic, gem-studded stars, and then hook on the matching moon jacket for a style dream come true. Pair with matching ear jackets and stacking rings to complete the look.","Celestial Stacking Necklaces","Sleek","Gunmetal","Necklaces","Gunmetal","","Crystal, glass, necklace, set, gift, box",107,,"Gunmetal toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19041","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190420609","800","Never stop looking up! When it comes to night-time accessorizing, the moon and star stacking rings are the perfect fit! Get in the celestial mood with metallic, gem-studded stars, and then hook on the matching moon jacket for a style dream come true. Pair with matching ear jackets and stacking necklaces\ to complete the look.","Celestial Stacking Ring Set","Sleek","Gunmetal","Rings","Gunmetal","","Crystal, glass, ring, set, stacking, gift, box",107,,"Gunmetal toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19042","Designed in the USA",7.5,14.99
"L190430109","800","Charming and sleek gold geo ear jackets are accented with delicate crystals and add a special touch to your everyday look. Pair with matching stacking necklaces and ring set to complete the look.","Geo Ear Jackets","Sleek","Gold","Earrings","Gold","","Crystal, glass, earring, ear, jacket, gift, box",106,,"Gold toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19043","Designed in the USA",8.5,19.99
"L190440109","800","Charming and sleek gold geo ear jackets are accented with delicate crystals and add a special touch to your everyday look. Pair with matching ear jackets and ring set to complete the look.","Geo Stacking Necklaces","Sleek","Gold","Necklaces","Gold","","Crystal, glass, necklace, set, gift, box",106,,"Gold toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19044","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190450109","800","Charming and sleek gold geo ear jackets are accented with delicate crystals and add a special touch to your everyday look. Pair with matching ear jackets and stacking necklaces to complete the look.","Geo Stacking Ring Set","Sleek","Gold","Rings","Gold","","Crystal, glass, ring, set, stacking, gift, box",106,,"Gold toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19045","Designed in the USA",7.5,14.99
"L190460209","800","Style and sophistication with a hint of edgy, these versatile ear jackets are sure to have all eyes on you! The beautiful aqua chaton and touches of glass crystals, makes for a great gift or a trendy accent piece. Pair with matching stacking necklaces or rings to complete the look.","Evil Eye Ear Jackets","Sleek","Blue","Earrings","Silver","","Crystal, glass, earring, ear, jacket, gift, box",105,,"Silver toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19046","Designed in the USA",8.5,19.99
"L190470209","800","Style and sophistication with a hint of edgy, these versatile stacking necklaces are sure to have all eyes on you! The beautiful aqua chaton and touches of glass crystals, makes for a great gift or a trendy accent piece. Pair with matching ear jackets or rings to complete the look.","Evil Eye Stacking Necklaces","Sleek","Blue","Necklaces","Silver","","Crystal, glass, necklace, set, gift, box",105,,"Silver toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19047","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190480209","800","Style and sophistication with a hint of edgy, these versatile stacking rings are sure to have all eyes on you! The beautiful aqua chaton and touches of glass crystals, makes for a great gift or a trendy accent piece. Pair with matching ear jackets or stacking necklaces to complete the look.","Evil Eye Stacking Ring Set","Sleek","Blue","Rings","Silver","","Crystal, glass, ring, set, stacking, gift, box",105,,"Silver toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19048","Designed in the USA",7.5,14.99
"L190520209","800","A sleek new level of style, these classic pearl studs are dazzling with touches of glass crystals. Layer together with the ear jacket or pair with matching stacking necklaces and ring set to complete the look.","Victorian Pearl Ear Jackets","Sleek","Silver","Earrings","Silver","","Crystal, glass, earring, ear, jacket, gift, box",104,,"Silver toned plating over brass with glass crystal accents","Surgical steel posts | Removable ear jackets | Style # L19052","Designed in the USA",8.5,19.99
"L182271116","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: July birth month featuring ruby colored crystals.</i>","July Birthstone Studs made with Swarovski® Crystals","Sleek","Red","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, july, ruby",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182271420","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: August birth month featuring peridot colored crystals.</i>","August Birthstone Studs made with Swarovski® Crystals","Sleek","Green","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, august, peridot",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L182271322","800","Add a pop of color to your favorite ensemble! These Birthstone Stud Earrings (made with Swarovski® Crystals) do just that with one of twelve vibrant colors; each that represents a birth month! The silver toned plating, colorful crystals, and optional glass crystal ear jackets are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: September birth month featuring sapphire colored crystals.</i>","September Birthstone Studs made with Swarovski® Crystals","Sleek","Blue","Earrings","Silver","","Crystal, glass, swarovski, earring, stud, ear, jacket, versatile, birthstone, september, sapphire",110,,"Silver toned plating over brass made with Swarovski® crystals","Surgical steel posts | Style # L1227","Designed in the USA",7,14.99
"L190530209","800","A sleek new level of style, these classic pearl stacking necklaces are dazzling with touches of glass crystals. Wear separate, layer together, or pair with matching ear jackets and ring set to complete the look.","Victorian Pearl Stacking Necklaces","Sleek","Silver","Necklaces","Silver","","Crystal, glass, necklace, set, gift, box",104,,"Silver toned plating over brass with glass crystal accents","Stackable | Lobster claw closure | Style # L19053","15"", 16""length | 3""extender chain | Designed in the USA",8.5,19.99
"L190540209","800","A sleek new level of style, these classic pearl stacking rings are dazzling with touches of glass crystals. Wear separate, layer together, or pair with matching ear jackets and stacking necklaces to complete the look.","Victorian Pearl Stacking Ring Set","Sleek","Silver","Rings","Silver","","Crystal, glass, ring, set, stacking, gift, box",104,,"Silver toned plating over brass with glass crystal accents","Adjustable | Stackable | Style # L19054","Designed in the USA",7.5,14.99
"L191311422","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: March birth month, reads passionate, sincere, and dreamer, features aquamarine colored crystals.</i>","March Birthstone Bar Bracelet","Sleek","Turquoise","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, march",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Passionate, sincere, dreamer | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
"L191310109","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: April birth month, reads adventurous, brave, and focused, features clear crystals.</i>","April Birthstone Bar Bracelet","Sleek","Clear/Crystal","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, april",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Adventurous, brave, focused | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
"L191311120","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: May birth month, reads ambitious, humble, and genuine, features emerald colored crystals.</i>","May Birthstone Bar Bracelet","Sleek","Green","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, may",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Ambitious, humble, genuine | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
"L191311424","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: June birth month, reads innovative, thoughtful, and honest, features light amethyst colored crystals.</i>","June Birthstone Bar Bracelet","Sleek","Purple","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, june",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Innovative, thoughtful, honest | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
"L191311116","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: July birth month, reads charming, optimistic, and unique, features ruby colored crystals.</i>","July Birthstone Bar Bracelet","Sleek","Red","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, july",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Charming, optimistic, unique | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
"L191311420","800","Find the Birthstone Bar Bracelet that represents your birth month and embrace all the things you love about yourself! The silver toned plating, colorful crystals, and uplifting descriptions are sure to make a positive and beautiful fashion statement. Makes for a sleek addition to your outfit or the perfect gift for a loved one. <i>Details: August birth month, reads independent, caring, and powerful, features peridot colored crystals.</i>","August Birthstone Bar Bracelet","Sleek","Green","Bracelets","Silver","","Bracelet, adjustable, birthstone, birthday, august",115,,"Silver toned plating over brass with glass birthstone crystal beads and black enamel fill","Independent, caring, powerful | Adjustable | Drawstring closure | Style # L19131","Designed in the USA",9,19.99
