"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vSpecificColor","vGenColor","vGenMaterial","vGenItemType","vShape","vSizeType","vMetalColor","vMetalType","vDimensions","vPcCounts","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","itemprice_1","itemprice_2","quantityonhand","imagefilename","lookAttr","funcAttr","materialAttr"
"2950004","900","Design truly refined jewelry with these  Lobster Claw Silver Plated Metal Clasps They are designed to create embellished connections. Great as a stand-alone focal piece or to add decoration to a specific part of your creation.  All of our silver plated components are plated with real silver.","2pc  Lobster Claw Silver Plated Metal Clasps","Real and Plated Metals","Silver","Silver","Silver Plated","Clips and Clasps","Lobster Claw",,"Silver","","7x13","2pc","Real and Plated, Metals, Findings, Silver, Silver, Silver, Plated, Clips, &, Clasps, Silver, 7X13, 2Pc, Lobster, Claw, Clasps, Silver","N","N",999999,"",1.25,2,279,"https://www.cousindiy.com/diyimages/2950004.jpg, https://www.cousindiy.com/diyimages/2950004-2.jpg, https://www.cousindiy.com/diyimages/2950004-3.jpg, https://www.cousindiy.com/diyimages/2950004-4.jpg, https://www.cousindiy.com/diyimages/2950004-5.jpg","Real and Plated Metals","Clips and Clasps","Silver Plated"
"23314","900","Captivate your little crafters with this Pink, Purple Hearts And Stars 2 Necklaces and 2 Bracelets . Perfect for parties, camp activities, and Me and You time. The endless potential to make will inspire kids of all ages!","90pc Pink, Purple Hearts And Stars Acrylic Necklace And Bracelet Kit","Kids, Kits","Pink, Purple","Pink","Acrylic","Jewelry kits","Hearts And Stars",,,"","","90pc","Kits, Kids, Pink, Purple, Pink, Acrylic, Jewelry, Kits, 90Pc, Hearts, Stars, Necklace, Bracelet, Kit, Pink, Purple","N","N",999999,"",2.5,4.99,153,"https://www.cousindiy.com/diyimages/23314.jpg, https://www.cousindiy.com/diyimages/23314-2.jpg, https://www.cousindiy.com/diyimages/23314-3.jpg, https://www.cousindiy.com/diyimages/23314-4.jpg, https://www.cousindiy.com/diyimages/23314-5.jpg","Kids","Jewelry kits","Acrylic"
"2469002","900","This black  Plastic Monofilament can be used to create spaced hanging strands, sturdy threading, and generally connecting elements of all kinds. Use a doubled overhand knot or crimp beads for a strong hold.","300ft black  Plastic Monofilament","Cording and Wire","Black","Black","Nylon","Filament Cords","",,,"","300ft","300ft","Cording, &, Wire, Black, Black, Nylon, Beading, Threads, 300Ft, 1Pc, Beading, Thread, Black","N","N",999999,"",1,1.99,1406,"https://www.cousindiy.com/diyimages/2469002.jpg, https://www.cousindiy.com/diyimages/2469002-2.jpg, https://www.cousindiy.com/diyimages/2469002-3.jpg, https://www.cousindiy.com/diyimages/2469002-4.jpg, https://www.cousindiy.com/diyimages/2469002-5.jpg","Cording and Wire","Filament Cords","Nylon"
"2469102","900","This Black #60 Plastic Monofilament can be used to create spaced hanging strands, sturdy threading, and generally connecting elements of all kinds. Use a doubled overhand knot or crimp beads for a strong hold.","300ft Black #60 Plastic Monofilament","Cording and Wire","Black","Black","Nylon","Filament Cords","#60",,,"","300ft","300ft","Cording, &, Wire, Black, Black, Nylon, Beading, Threads, 300Ft, 1Pc, #6, Beading, Thread, Black","N","N",999999,"",1,1.99,383,"https://www.cousindiy.com/diyimages/2469102.jpg, https://www.cousindiy.com/diyimages/2469102-2.jpg, https://www.cousindiy.com/diyimages/2469102-3.jpg, https://www.cousindiy.com/diyimages/2469102-4.jpg, https://www.cousindiy.com/diyimages/2469102-5.jpg","Cording and Wire","Filament Cords","Nylon"
"2578874","900","These trendy Copper Flower Metal Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","28pc Copper Flower Metal Beads","Beads","Copper","Brown","Base Metal","Metal Beads","Flower",,"Brown","Copper","6mm","28pc","Copper, Flower, Bd, Copper, Beads, 28, Piece, 6Mm","N","N",999999,"",1,1.99,84,"https://www.cousindiy.com/diyimages/2578874.jpg, https://www.cousindiy.com/diyimages/2578874-2.jpg, https://www.cousindiy.com/diyimages/2578874-3.jpg, https://www.cousindiy.com/diyimages/2578874-4.jpg, https://www.cousindiy.com/diyimages/2578874-5.jpg","Beads","Metal Beads","Base Metal"
"2949406","900","Design truly refined jewelry with these   Sterling Silver Crimp Beads . They are the unsung heroes of the beading world. They are useful in so many places! Secure stretch cords, thread, monofilament or beading wire, or use as tiny spacers. Use a Crimp Tool for easy crimping.  All of our sterling silver components are made of solid 925 Sterling silver.","50pc   Sterling Silver Crimp Beads","Real and Plated Metals","Silver","Silver","Sterling Silver","Crimp Beads and Tubes","",,"Silver","Silver, Copper","2mm","50pc","Silver, Sterling, Silver, Silver, Copper, 2Mm, Crimp, Beads, Tubes, Findings, Crimp, Beads,","N","N",999999,"",4,7.99,480,"https://www.cousindiy.com/diyimages/2949406.jpg, https://www.cousindiy.com/diyimages/2949406-2.jpg, https://www.cousindiy.com/diyimages/2949406-3.jpg, https://www.cousindiy.com/diyimages/2949406-4.jpg, https://www.cousindiy.com/diyimages/2949406-5.jpg","Real and Plated Metals","Crimp Beads and Tubes","Sterling Silver"
"2950205","900","Design truly refined jewelry with these  S Hook Silver Plated Metal Clasps They are designed to create embellished connections. Great as a stand-alone focal piece or to add decoration to a specific part of your creation.  All of our silver plated components are plated with real silver.","7pc  S Hook Silver Plated Metal Clasps","Real and Plated Metals","Silver","Silver","Silver Plated","Clips and Clasps","S Hook",,"Silver","Silver, Copper","6x14mm","7pc","Real and Plated, Metals, Silver, Silver, Silver, Plated, Clips, &, Clasps, Silver, 6X14Mm, 7Pc, S, Hook, Clasps, Silver","N","N",999999,"",2,3.99,104,"https://www.cousindiy.com/diyimages/2950205.jpg, https://www.cousindiy.com/diyimages/2950205-2.jpg, https://www.cousindiy.com/diyimages/2950205-3.jpg, https://www.cousindiy.com/diyimages/2950205-4.jpg, https://www.cousindiy.com/diyimages/2950205-5.jpg","Real and Plated Metals","Clips and Clasps","Silver Plated"
"23134","900","Captivate your little crafters with these Multi-Color Hearts and Stars Plastic Throw Bead Necklaces . Perfect for parties, camp hand outs, or gifts!","4pc Multi-Color Hearts and Stars Plastic Throw Bead Necklaces","Kids","Red, Silver","Red","Plastic","Necklaces","Hearts and Stars",,"","","","4pc","Throw","N","N",999999,"0.0",1,1.99,3099,"https://www.cousindiy.com/diyimages/23134.jpg, https://www.cousindiy.com/diyimages/23134-2.jpg, https://www.cousindiy.com/diyimages/23134-3.jpg, https://www.cousindiy.com/diyimages/23134-4.jpg, https://www.cousindiy.com/diyimages/23134-5.jpg","Kids","Necklaces","Plastic"
"23313","900","Make your own fashion jewelry! This kit contains all the materials you need to make Multi-Color Flowers 4 Necklaces . Use the included design pattern or get inspired to design your own. A great gift for friends and family!","90pc Multi-Color Flowers Plastic Necklace Kit","Kids, Kits","Green, Yellow, Purple, Pink, Red, Orange, Blue","Multi","Plastic","Jewelry kits","Flowers",,,"","","90pc","Bead, Girl, Kit, Flower, Rainbow
","N","N",999999,"",2.5,4.99,307,"https://www.cousindiy.com/diyimages/23313.jpg, https://www.cousindiy.com/diyimages/23313-2.jpg, https://www.cousindiy.com/diyimages/23313-3.jpg, https://www.cousindiy.com/diyimages/23313-4.jpg, https://www.cousindiy.com/diyimages/23313-5.jpg","Kids","Jewelry kits","Plastic"
"29497206","900","Design truly refined jewelry with this  Floral Gold Plated Metal Toggle ! Toggles are great for added embellishment and are often the easiest clasp option for necklaces and bracelets. Use them to clasp chain, wire, and thread.  A must-have for jewelry makers! All of our gold plated components are plated with real 14K gold.","1Set  Floral Gold Plated Metal Toggle","Real and Plated Metals","14K Gold","Gold","Gold Plated","Clips and Clasps","Floral",,"Gold","Gold, Copper","","1Set","Real and Plated, Metals, 14K, Gold, Gold, Gold, Plated, Clips, &, Clasps, Gold, 1Set, Floral, Toggle, 14K, Gold","N","N",999999,"",2.5,4.99,1067,"https://www.cousindiy.com/diyimages/29497206.jpg, https://www.cousindiy.com/diyimages/29497206-2.jpg, https://www.cousindiy.com/diyimages/29497206-3.jpg, https://www.cousindiy.com/diyimages/29497206-4.jpg, https://www.cousindiy.com/diyimages/29497206-5.jpg","Real and Plated Metals","Clips and Clasps","Gold Plated"
"26910","900","This   Flocked Bead Palette is one of the most convenient tools you will find. Design bracelet and necklace strands with ease on this palette, with all components nicely sorted and ordered!","1pc   Flocked Bead Palette","Tools","White","White","Plastic","Misc Tools","",,,"","9.2x12.6in","1pc","Tools, White, White, Plastic, Misc, Tools, 9. 2X12. 6In, 1Pc, Flocked, Bead, Palette, White","N","N",999999,"",2.5,2,4881,"https://www.cousindiy.com/diyimages/26910.jpg, https://www.cousindiy.com/diyimages/26910-2.jpg, https://www.cousindiy.com/diyimages/26910-3.jpg, https://www.cousindiy.com/diyimages/26910-4.jpg, https://www.cousindiy.com/diyimages/26910-5.jpg","Tools","Misc Tools","Plastic"
"29060","900","Create unique pieces of jewelry that everyone will love with this Multi-Color Multi Glass Bead Mix . Whether you are designing necklaces, bracelets, earrings or more, these beads will make your creations a fashion standard! Express yourself or create custom gifts. This package also serves as a storage!","Multi-Color Multi Glass Bead Mix In Organizer","Beads","Multi-Color","Multi","Glass","Glass Beads","Multi",,,"","3-17mm","","Multi-Color, Glass, 3-17Mm, Glass, Beads, Yellow, Red, Blue, Green,","N","N",999999,"",5,9.99,3914,"https://www.cousindiy.com/diyimages/29060.jpg, https://www.cousindiy.com/diyimages/29060-2.jpg, https://www.cousindiy.com/diyimages/29060-3.jpg, https://www.cousindiy.com/diyimages/29060-4.jpg, https://www.cousindiy.com/diyimages/29060-5.jpg","Beads","Glass Beads","Glass"
"10589","900","This   Wide Bead Loom is great for making beaded bracelets and learning new weaving techniques. You can create your own pattern for infinite creativity. This will make a perfect gift!","1pc   Wide Bead Loom","Tools","Multi","Multi","Base Metal","Jigs and Looms","",,"Black","Steel","14.5x6in","1pc","Bead Loom, large, 1PC, 14.5x6IN, Jigs And Looms, Base Metal, Multi-Color, Multi","N","N",999999,"",4,7.99,4422,"https://www.cousindiy.com/diyimages/10589.jpg, https://www.cousindiy.com/diyimages/10589-2.jpg, https://www.cousindiy.com/diyimages/10589-3.jpg, https://www.cousindiy.com/diyimages/10589-4.jpg, https://www.cousindiy.com/diyimages/10589-5.jpg","Tools","Jigs and Looms","Base Metal"
