"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C180960209","400","This Diffuser Necklace is an essential piece for your lifestyle, especially since you're obsessed with looking good and feeling even better! When heading to yoga, apply a calming oil to your diffuser pad and place it in your necklace, when heading for a coffee date, use your favorite energy boosting oil.","The Karma Triangle Diffuser Necklace","Zen","Silver","Necklaces","Silver",,"Brass","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated, essential oil, felt","N","N",425,,"Rhodium plated over brass with glass crystal accents","Lobster claw closure | Style # C18096","20""length | 3""extender chain | Designed in the USA",12,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C180960209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180960209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180960209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180960209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180960209-5.JPG"
"C183490026","400","","20pc Felt Insert Refill","Zen","Grey","Accessories","",,"","Essential oil","N","N",480,,"100% felt","20pc felt strips for diffuser refills","Apply several drops of essential oil to felt strip and insert in your tube diffuser for a scent that lasts all day",1,5.99,"https://www.cosmostylejewelry.com/CosmoImg/C183490026.JPG, https://www.cosmostylejewelry.com/CosmoImg/C183490026-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C183490026-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C183490026-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C183490026-5.JPG"
"C180810109","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Dainty Geo Stud Pack","Zen","Gold","Earrings","Gold",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",430,"C180810509","14k gold plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18081","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180810109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810109-5.JPG"
"C180810209","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Dainty Geo Stud Pack","Zen","Silver","Earrings","Silver",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",430,"C180810509","Rhodium plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18081","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180810209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810209-5.JPG"
"C180810509","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Dainty Geo Stud Pack","Zen","Rose Gold","Earrings","Rose Gold",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, 14K, rose gold, plated","N","N",430,"C180810509","14k rose gold plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18081","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180810509.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810509-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810509-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810509-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180810509-5.JPG"
"C180820109","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Pavé Peace Ear Jackets","Zen","Gold","Earrings","Gold",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",431,"C180820509","14k gold plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18082","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180820109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820109-5.JPG"
"C180820209","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Pavé Peace Ear Jackets","Zen","Silver","Earrings","Silver",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",431,"C180820509","Rhodium plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18082","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180820209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820209-5.JPG"
"C180820509","400","Minimal in size, but impactful in style. A favorite hobby is grabbing your yoga mat and heading to your yoga class where you channel your inner zen. Wearing leggings and a cami, your dainty cubic zirconia studs have all the yogi's talking.","The Pavé Peace Ear Jackets","Zen","Rose Gold","Earrings","Rose Gold",,"Surgical Steel","Pavé, crystal, CZ, cubiic zirconia, 14K, rose gold, plated","N","N",431,"C180820509","14k rose gold plated over surgical steel with cubic zirconia accents","Surgical steel posts | Style # C18082","Designed in the USA",7,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180820509.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820509-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820509-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820509-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180820509-5.JPG"
"C180830109","400","For an extra touch of feminine flair, stack these dainty rings on your fingers. They are minimal in size, but impactful in style. Your girlfriends are always asking where you’re getting your fabulous jewelry finds so they can get their own!","The Pavé Peace Ring Set","Zen","Gold","Rings","Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",440,"C180830509","14k gold plated over brass with cubic zirconia accents","Adjustable | Style # C18083","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180830109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830109-5.JPG"
"C180830209","400","For an extra touch of feminine flair, stack these dainty rings on your fingers. They are minimal in size, but impactful in style. Your girlfriends are always asking where you’re getting your fabulous jewelry finds so they can get their own!","The Pavé Peace Ring Set","Zen","Silver","Rings","Silver",,"Brass","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",440,"C180830509","Rhodium plated over brass with cubic zirconia accents","Adjustable | Style # C18083","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180830209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830209-5.JPG"
"C180830509","400","For an extra touch of feminine flair, stack these dainty rings on your fingers. They are minimal in size, but impactful in style. Your girlfriends are always asking where you’re getting your fabulous jewelry finds so they can get their own!","The Pavé Peace Ring Set","Zen","Rose Gold","Rings","Rose Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, rose gold, plated","N","N",440,"C180830509","14k rose gold plated over brass with cubic zirconia accents","Adjustable | Style # C18083","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180830509.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830509-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830509-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830509-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180830509-5.JPG"
"C180840127","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Pavé Peace Essential Oil Bracelet","Zen","Black","Bracelets","Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, black, agate, 14K, gold","N","N",410,"C180840520","14k gold plated over brass with black agate and lava stones","Stretch | Style # C18084","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180840127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840127-5.JPG"
"C180840214","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Pavé Peace Essential Oil Bracelet","Zen","White","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, howlite, rhodium","N","N",410,"C180840520","Rhodium plated over brass with white howlite and lava stones","Stretch | Style # C18084","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180840214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840214-5.JPG"
"C180840224","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Pavé Peace Essential Oil Bracelet","Zen","Purple","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, amethyst, rhodium","N","N",410,"C180840520","Rhodium plated over brass with amethyst and lava stones","Stretch | Style # C18084","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180840224.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840224-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840224-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840224-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840224-5.JPG"
"C180840520","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Pavé Peace Essential Oil Bracelet","Zen","Green","Bracelets","Rose Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, labradorite, 14K, rose gold","N","N",410,"C180840520","14k rose gold plated over brass with labradorite and lava stones","Stretch | Style # C18084","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180840520.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840520-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840520-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840520-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180840520-5.JPG"
"C180850127","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Hamsa Essential Oil Bracelet","Zen","Black","Bracelets","Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, black, agate, 14K, gold","N","N",411,"C180850520","14k gold plated over brass with black agate and lava stones","Stretch | Style # C18085","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180850127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850127-5.JPG"
"C180850214","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Hamsa Essential Oil Bracelet","Zen","White","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, howlite, rhodium","N","N",411,"C180850520","Rhodium plated over brass with white howlite and lava stones","Stretch | Style # C18085","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180850214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850214-5.JPG"
"C180850224","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Hamsa Essential Oil Bracelet","Zen","Purple","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, amethyst, rhodium","N","N",411,"C180850520","Rhodium plated over brass with amethyst and lava stones","Stretch | Style # C18085","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180850224.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850224-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850224-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850224-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850224-5.JPG"
"C180850520","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Hamsa Essential Oil Bracelet","Zen","Green","Bracelets","Rose Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, labradorite, 14K, rose gold","N","N",411,"C180850520","14k rose gold plated over brass with labradorite and lava stones","Stretch | Style # C18085","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180850520.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850520-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850520-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850520-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180850520-5.JPG"
"C180860127","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Lotus Essential Oil Bracelet","Zen","Black","Bracelets","Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, black, agate, 14K, gold","N","N",412,"C180860520","14k gold plated over brass with black agate and lava stones","Stretch | Style # C18086","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180860127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860127-5.JPG"
"C180860214","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Lotus Essential Oil Bracelet","Zen","White","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, howlite, rhodium","N","N",412,"C180860520","Rhodium plated over brass with white howlite and lava stones","Stretch | Style # C18086","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180860214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860214-5.JPG"
